year,month,day,district,fine dust,ultra fine dust
2022,1,1,마포구,23.125,13.54166667
2022,1,1,서대문구,28.29166667,18.29166667
2022,1,2,마포구,29.20833333,20.91666667
2022,1,2,서대문구,34.16666667,24.375
2022,1,3,마포구,23.91666667,15.45833333
2022,1,3,서대문구,25.625,16.80952381
2022,1,4,마포구,28.625,16.33333333
2022,1,4,서대문구,33.875,21.33333333
2022,1,5,마포구,45.91666667,28.20833333
2022,1,5,서대문구,45.70833333,29.29166667
2022,1,6,마포구,49,31.5
2022,1,6,서대문구,47.375,33.54166667
2022,1,7,마포구,50.625,33.79166667
2022,1,7,서대문구,52.65,37.35
2022,1,8,마포구,48.83333333,37.33333333
2022,1,8,서대문구,55.29166667,43.83333333
2022,1,9,마포구,98.375,82.83333333
2022,1,9,서대문구,108.173913,97.625
2022,1,10,마포구,73.125,60.95833333
2022,1,10,서대문구,80.81818182,71.45833333
2022,1,11,마포구,26.38095238,16.0952381
2022,1,11,서대문구,31.95833333,19.125
2022,1,12,마포구,24.41666667,15.08333333
2022,1,12,서대문구,25.79166667,15.95833333
2022,1,13,마포구,27.04166667,11.79166667
2022,1,13,서대문구,35,12.58333333
2022,1,14,마포구,25.58333333,13.875
2022,1,14,서대문구,30.29166667,16.625
2022,1,15,마포구,36.16666667,24.375
2022,1,15,서대문구,40.41666667,27.16666667
2022,1,16,마포구,35.25,23.375
2022,1,16,서대문구,43.16666667,27.875
2022,1,17,마포구,21.45833333,11.91666667
2022,1,17,서대문구,25.66666667,15.33333333
2022,1,18,마포구,32,18.375
2022,1,18,서대문구,36.41666667,17.70833333
2022,1,19,마포구,37.16666667,29.20833333
2022,1,19,서대문구,43.33333333,22.75
2022,1,20,마포구,35.29166667,27.20833333
2022,1,20,서대문구,39.95833333,23.04166667
2022,1,21,마포구,32.4,25.2
2022,1,21,서대문구,32.125,16.79166667
2022,1,22,마포구,46.91666667,39.58333333
2022,1,22,서대문구,48,24.95833333
2022,1,23,마포구,60.625,45.91666667
2022,1,23,서대문구,61.75,35.91666667
2022,1,24,마포구,27.54166667,18.91666667
2022,1,24,서대문구,17,10.875
2022,1,25,마포구,25.45833333,18.08333333
2022,1,25,서대문구,28.6,20.05
2022,1,26,마포구,50.66666667,38.625
2022,1,26,서대문구,57.875,46.54166667
2022,1,27,마포구,52,36.70833333
2022,1,27,서대문구,53.75,41
2022,1,28,마포구,30.41666667,17.95833333
2022,1,28,서대문구,33.125,20.45833333
2022,1,29,마포구,25.16666667,14.83333333
2022,1,29,서대문구,28.54166667,15.95833333
2022,1,30,마포구,28.54166667,16.125
2022,1,30,서대문구,30.75,17.375
2022,1,31,마포구,26,17.16666667
2022,1,31,서대문구,31.29166667,23.375
2022,2,1,마포구,38.41666667,29.58333333
2022,2,1,서대문구,37.73913043,33.41666667
2022,2,2,마포구,30.16666667,22.08333333
2022,2,2,서대문구,28.95454545,25.33333333
2022,2,3,마포구,19.625,12.5
2022,2,3,서대문구,22.08695652,17.04166667
2022,2,4,마포구,19.33333333,11.70833333
2022,2,4,서대문구,20.73913043,13.95833333
2022,2,5,마포구,22.625,8.875
2022,2,5,서대문구,28.54166667,9.916666667
2022,2,6,마포구,19.125,9.916666667
2022,2,6,서대문구,22.875,12.95833333
2022,2,7,마포구,23.66666667,12.625
2022,2,7,서대문구,26.7,16.23809524
2022,2,8,마포구,24.80952381,16.66666667
2022,2,8,서대문구,29.25,19.54166667
2022,2,9,마포구,30.70833333,22.33333333
2022,2,9,서대문구,33.70833333,23.83333333
2022,2,10,마포구,40.125,30.33333333
2022,2,10,서대문구,44.875,30.25
2022,2,11,마포구,70.66666667,61.20833333
2022,2,11,서대문구,79.91666667,65.31818182
2022,2,12,마포구,80.75,68.70833333
2022,2,12,서대문구,79.83333333,65.45833333
2022,2,13,마포구,53.95833333,37.45833333
2022,2,13,서대문구,50.08333333,36.75
2022,2,14,마포구,38.20833333,29.54166667
2022,2,14,서대문구,37.70833333,30.625
