date,rainfall
2022-08-01,30
2022-08-02,33.5
2022-08-03,51.1
2022-08-04,0
2022-08-05,0
2022-08-06,13.6
2022-08-07,0.9
2022-08-08,129.6
2022-08-09,123.1
2022-08-10,7.6
2022-08-11,38.8
2022-08-12,
2022-08-13,4
2022-08-14,3
2022-08-15,0.9
2022-08-16,0
2022-08-17,0
2022-08-18,
2022-08-19,66.1
2022-08-20,0
2022-08-21,
2022-08-22,3.2
2022-08-23,2.2
2022-08-24,
2022-08-25,1.6
2022-08-26,
2022-08-27,17.6
2022-08-28,
2022-08-29,2.2
2022-08-30,35.8
2022-08-31,0
2022-09-01,
2022-09-02,
2022-09-03,
2022-09-04,33.8
2022-09-05,120
2022-09-06,25.3
2022-09-07,
2022-09-08,
2022-09-09,
2022-09-10,
2022-09-11,0.1
2022-09-12,
2022-09-13,0
2022-09-14,0
2022-09-15,0.1
2022-09-16,14.6
2022-09-17,4.3
2022-09-18,
2022-09-19,
2022-09-20,
2022-09-21,
2022-09-22,
2022-09-23,3.3
2022-09-24,
2022-09-25,
2022-09-26,
2022-09-27,
2022-09-28,
2022-09-29,
2022-09-30,
