year,month,day,rent_office_number,age,time
2022,9,1,400,~10,12
2022,9,1,427,~10,6
2022,9,1,114,~10,15
2022,9,1,145,~10,8
2022,9,1,148,~10,52
2022,9,1,153,~10,17
2022,9,1,488,~10,103
2022,9,1,489,~10,29
2022,9,1,492,~10,3
2022,9,1,3008,~10,9
2022,9,1,3010,~10,15
2022,9,1,125,~10,10
2022,9,1,4226,~10,37
2022,9,1,4238,~10,12
2022,9,1,4251,~10,40
2022,9,1,130,~10,36
2022,9,1,405,~10,20
2022,9,1,406,~10,5
2022,9,1,407,~10,15
2022,9,1,409,~10,7
2022,9,1,412,~10,6
2022,9,1,108,20,256
2022,9,1,109,20,60
2022,9,1,400,20,36
2022,9,1,427,20,59
2022,9,1,111,20,90
2022,9,1,112,20,234
2022,9,1,436,20,101
2022,9,1,437,20,8
2022,9,1,438,20,66
2022,9,1,438,20,53
2022,9,1,440,20,18
2022,9,1,113,20,291
2022,9,1,113,20,3
2022,9,1,118,20,25
2022,9,1,114,20,189
2022,9,1,142,20,56
2022,9,1,143,20,56
2022,9,1,143,20,42
2022,9,1,144,20,171
2022,9,1,145,20,162
2022,9,1,146,20,136
2022,9,1,147,20,191
2022,9,1,148,20,2
2022,9,1,148,20,9
2022,9,1,150,20,65
2022,9,1,119,20,175
2022,9,1,153,20,77
2022,9,1,154,20,180
2022,9,1,155,20,50
2022,9,1,156,20,82
2022,9,1,157,20,60
2022,9,1,487,20,173
2022,9,1,488,20,208
2022,9,1,489,20,6
2022,9,1,490,20,72
2022,9,1,491,20,19
2022,9,1,492,20,13
2022,9,1,493,20,138
2022,9,1,494,20,29
2022,9,1,495,20,146
2022,9,1,497,20,48
2022,9,1,497,20,47
2022,9,1,498,20,186
2022,9,1,3002,20,249
2022,9,1,3003,20,3
2022,9,1,3005,20,8
2022,9,1,3006,20,3
2022,9,1,3007,20,68
2022,9,1,3008,20,91
2022,9,1,3009,20,49
2022,9,1,3010,20,236
2022,9,1,3011,20,103
2022,9,1,120,20,76
2022,9,1,121,20,73
2022,9,1,122,20,43
2022,9,1,4202,20,77
2022,9,1,4206,20,56
2022,9,1,4207,20,28
2022,9,1,4208,20,112
2022,9,1,4210,20,41
2022,9,1,4210,20,43
2022,9,1,4211,20,33
2022,9,1,4212,20,56
2022,9,1,4213,20,282
2022,9,1,4213,20,19
2022,9,1,4214,20,91
2022,9,1,124,20,119
2022,9,1,124,20,10
2022,9,1,125,20,62
2022,9,1,126,20,143
2022,9,1,4216,20,28
2022,9,1,4216,20,8
2022,9,1,127,20,23
2022,9,1,4217,20,1082
2022,9,1,4217,20,81
2022,9,1,4218,20,100
2022,9,1,4218,20,24
2022,9,1,4220,20,114
2022,9,1,4221,20,11
2022,9,1,4224,20,34
2022,9,1,4226,20,19
2022,9,1,4233,20,289
2022,9,1,4238,20,59
2022,9,1,4239,20,38
2022,9,1,4222,20,39
2022,9,1,4244,20,15
2022,9,1,4244,20,36
2022,9,1,4246,20,62
2022,9,1,4247,20,12
2022,9,1,4248,20,5
2022,9,1,4251,20,12
2022,9,1,129,20,71
2022,9,1,129,20,3
2022,9,1,130,20,70
2022,9,1,181,20,115
2022,9,1,181,20,29
2022,9,1,182,20,109
2022,9,1,183,20,185
2022,9,1,184,20,225
2022,9,1,184,20,48
2022,9,1,185,20,41
2022,9,1,186,20,13
2022,9,1,102,20,586
2022,9,1,199,20,89
2022,9,1,103,20,128
2022,9,1,104,20,36
2022,9,1,105,20,153
2022,9,1,401,20,31
2022,9,1,402,20,16
2022,9,1,403,20,16
2022,9,1,106,20,174
2022,9,1,106,20,4
2022,9,1,405,20,44
2022,9,1,406,20,43
2022,9,1,421,20,159
2022,9,1,421,20,8
2022,9,1,407,20,59
2022,9,1,408,20,74
2022,9,1,420,20,10
2022,9,1,409,20,128
2022,9,1,419,20,21
2022,9,1,410,20,46
2022,9,1,418,20,73
2022,9,1,107,20,76
2022,9,1,411,20,21
2022,9,1,412,20,116
2022,9,1,413,20,63
2022,9,1,417,20,78
2022,9,1,414,20,80
2022,9,1,414,20,4
2022,9,1,415,20,176
2022,9,1,416,20,67
2022,9,1,422,20,78
2022,9,1,424,20,3
2022,9,1,425,20,37
2022,9,1,426,20,20
2022,9,1,108,30,27
2022,9,1,109,30,105
2022,9,1,400,30,1
2022,9,1,427,30,20
2022,9,1,111,30,59
2022,9,1,112,30,44
2022,9,1,436,30,14
2022,9,1,437,30,45
2022,9,1,438,30,37
2022,9,1,440,30,13
2022,9,1,113,30,124
2022,9,1,113,30,12
2022,9,1,118,30,115
2022,9,1,114,30,68
2022,9,1,142,30,15
2022,9,1,143,30,6
2022,9,1,144,30,181
2022,9,1,145,30,98
2022,9,1,146,30,199
2022,9,1,147,30,170
2022,9,1,148,30,101
2022,9,1,119,30,115
2022,9,1,153,30,16
2022,9,1,153,30,8
2022,9,1,154,30,56
2022,9,1,155,30,24
2022,9,1,156,30,20
2022,9,1,157,30,69
2022,9,1,487,30,107
2022,9,1,488,30,51
2022,9,1,489,30,25
2022,9,1,490,30,93
2022,9,1,491,30,70
2022,9,1,492,30,11
2022,9,1,493,30,132
2022,9,1,495,30,20
2022,9,1,497,30,144
2022,9,1,498,30,74
2022,9,1,3002,30,195
2022,9,1,3003,30,3
2022,9,1,3007,30,6
2022,9,1,3007,30,9
2022,9,1,3008,30,22
2022,9,1,3009,30,14
2022,9,1,3010,30,184
2022,9,1,3011,30,43
2022,9,1,120,30,13
2022,9,1,121,30,12
2022,9,1,4202,30,62
2022,9,1,4207,30,33
2022,9,1,4208,30,10
2022,9,1,4208,30,9
2022,9,1,4210,30,62
2022,9,1,4210,30,10
2022,9,1,4212,30,18
2022,9,1,4213,30,99
2022,9,1,4214,30,34
2022,9,1,126,30,18
2022,9,1,4216,30,18
2022,9,1,127,30,6
2022,9,1,4217,30,196
2022,9,1,4218,30,17
2022,9,1,4220,30,18
2022,9,1,4226,30,57
2022,9,1,4233,30,88
2022,9,1,4238,30,126
2022,9,1,4222,30,56
2022,9,1,4244,30,14
2022,9,1,4246,30,33
2022,9,1,4247,30,3
2022,9,1,4251,30,14
2022,9,1,129,30,17
2022,9,1,130,30,15
2022,9,1,182,30,15
2022,9,1,183,30,97
2022,9,1,184,30,98
2022,9,1,186,30,92
2022,9,1,186,30,3
2022,9,1,102,30,117
2022,9,1,199,30,11
2022,9,1,103,30,56
2022,9,1,104,30,82
2022,9,1,403,30,3
2022,9,1,403,30,4
2022,9,1,106,30,137
2022,9,1,405,30,18
2022,9,1,406,30,14
2022,9,1,421,30,79
2022,9,1,407,30,36
2022,9,1,408,30,119
2022,9,1,420,30,73
2022,9,1,409,30,139
2022,9,1,419,30,51
2022,9,1,419,30,3
2022,9,1,418,30,12
2022,9,1,107,30,13
2022,9,1,411,30,25
2022,9,1,412,30,12
2022,9,1,417,30,147
2022,9,1,414,30,38
2022,9,1,415,30,37
2022,9,1,416,30,45
2022,9,1,416,30,24
2022,9,1,426,30,61
2022,9,1,108,40,9
2022,9,1,427,40,29
2022,9,1,438,40,22
2022,9,1,113,40,112
2022,9,1,118,40,20
2022,9,1,143,40,19
2022,9,1,144,40,45
2022,9,1,146,40,133
2022,9,1,147,40,77
2022,9,1,148,40,11
2022,9,1,148,40,7
2022,9,1,150,40,11
2022,9,1,119,40,101
2022,9,1,153,40,59
2022,9,1,154,40,8
2022,9,1,157,40,29
2022,9,1,489,40,14
2022,9,1,490,40,8
2022,9,1,491,40,24
2022,9,1,492,40,9
2022,9,1,497,40,89
2022,9,1,498,40,37
2022,9,1,3002,40,17
2022,9,1,3003,40,3
2022,9,1,3009,40,5
2022,9,1,3010,40,15
2022,9,1,3011,40,9
2022,9,1,120,40,24
2022,9,1,122,40,5
2022,9,1,4202,40,11
2022,9,1,4208,40,4
2022,9,1,4213,40,185
2022,9,1,4214,40,4
2022,9,1,124,40,7
2022,9,1,126,40,41
2022,9,1,4216,40,22
2022,9,1,4217,40,317
2022,9,1,4224,40,42
2022,9,1,4226,40,25
2022,9,1,4233,40,9
2022,9,1,4238,40,28
2022,9,1,4244,40,37
2022,9,1,4247,40,41
2022,9,1,4248,40,34
2022,9,1,129,40,34
2022,9,1,182,40,7
2022,9,1,183,40,50
2022,9,1,185,40,15
2022,9,1,103,40,13
2022,9,1,402,40,6
2022,9,1,403,40,52
2022,9,1,406,40,5
2022,9,1,421,40,56
2022,9,1,407,40,11
2022,9,1,408,40,41
2022,9,1,409,40,14
2022,9,1,409,40,25
2022,9,1,419,40,76
2022,9,1,419,40,16
2022,9,1,418,40,172
2022,9,1,107,40,12
2022,9,1,412,40,44
2022,9,1,413,40,6
2022,9,1,417,40,35
2022,9,1,414,40,35
2022,9,1,415,40,147
2022,9,1,425,40,2
2022,9,1,426,40,49
2022,9,1,400,50,7
2022,9,1,427,50,35
2022,9,1,112,50,34
2022,9,1,437,50,19
2022,9,1,438,50,34
2022,9,1,113,50,102
2022,9,1,114,50,82
2022,9,1,144,50,4
2022,9,1,146,50,13
2022,9,1,147,50,37
2022,9,1,148,50,43
2022,9,1,119,50,11
2022,9,1,153,50,15
2022,9,1,154,50,85
2022,9,1,156,50,25
2022,9,1,157,50,6
2022,9,1,487,50,58
2022,9,1,488,50,7
2022,9,1,490,50,10
2022,9,1,492,50,21
2022,9,1,497,50,111
2022,9,1,498,50,7
2022,9,1,3002,50,31
2022,9,1,3005,50,24
2022,9,1,3009,50,21
2022,9,1,120,50,43
2022,9,1,4210,50,8
2022,9,1,4211,50,86
2022,9,1,4213,50,47
2022,9,1,4214,50,17
2022,9,1,124,50,65
2022,9,1,4216,50,18
2022,9,1,4217,50,384
2022,9,1,4218,50,2
2022,9,1,4226,50,4
2022,9,1,4233,50,85
2022,9,1,4238,50,11
2022,9,1,4239,50,13
2022,9,1,4222,50,22
2022,9,1,4222,50,4
2022,9,1,4251,50,29
2022,9,1,182,50,29
2022,9,1,183,50,9
2022,9,1,184,50,15
2022,9,1,185,50,9
2022,9,1,186,50,24
2022,9,1,102,50,86
2022,9,1,199,50,5
2022,9,1,103,50,25
2022,9,1,104,50,35
2022,9,1,403,50,19
2022,9,1,106,50,56
2022,9,1,405,50,32
2022,9,1,406,50,39
2022,9,1,421,50,23
2022,9,1,408,50,7
2022,9,1,409,50,37
2022,9,1,419,50,87
2022,9,1,418,50,24
2022,9,1,411,50,12
2022,9,1,412,50,21
2022,9,1,426,50,40
2022,9,1,437,60,4
2022,9,1,147,60,23
2022,9,1,154,60,54
2022,9,1,155,60,17
2022,9,1,156,60,7
2022,9,1,157,60,3
2022,9,1,487,60,18
2022,9,1,498,60,17
2022,9,1,3005,60,92
2022,9,1,4211,60,52
2022,9,1,4217,60,69
2022,9,1,4238,60,5
2022,9,1,182,60,75
2022,9,1,103,60,3
2022,9,1,104,60,9
2022,9,1,403,60,4
2022,9,1,106,60,55
2022,9,1,421,60,49
2022,9,1,412,60,6
2022,9,1,147,70~,40
2022,9,1,186,70~,39
2022,9,1,112,NA,8
2022,9,1,114,NA,6
2022,9,1,144,NA,19
2022,9,1,145,NA,11
2022,9,1,146,NA,15
2022,9,1,148,NA,15
2022,9,1,148,NA,26
2022,9,1,119,NA,5
2022,9,1,119,NA,13
2022,9,1,155,NA,3
2022,9,1,157,NA,7
2022,9,1,487,NA,56
2022,9,1,488,NA,14
2022,9,1,3002,NA,14
2022,9,1,3003,NA,36
2022,9,1,3010,NA,8
2022,9,1,4202,NA,10
2022,9,1,4213,NA,7
2022,9,1,4217,NA,36
2022,9,1,4217,NA,23
2022,9,1,4220,NA,31
2022,9,1,4233,NA,9
2022,9,1,181,NA,61
2022,9,1,182,NA,107
2022,9,1,184,NA,17
2022,9,1,102,NA,37
2022,9,1,199,NA,7
2022,9,1,418,NA,11
2022,9,1,107,NA,17
2022,9,1,411,NA,34
2022,9,1,414,NA,5
2022,9,1,416,NA,4
2022,9,1,400,~10,13
2022,9,1,427,~10,15
2022,9,1,112,~10,10
2022,9,1,144,~10,22
2022,9,1,147,~10,8
2022,9,1,150,~10,16
2022,9,1,119,~10,58
2022,9,1,153,~10,5
2022,9,1,488,~10,211
2022,9,1,489,~10,24
2022,9,1,497,~10,33
2022,9,1,3006,~10,33
2022,9,1,124,~10,7
2022,9,1,4217,~10,46
2022,9,1,4218,~10,16
2022,9,1,4224,~10,1
2022,9,1,4233,~10,20
2022,9,1,4222,~10,19
2022,9,1,183,~10,10
2022,9,1,184,~10,8
2022,9,1,185,~10,12
2022,9,1,104,~10,58
2022,9,1,401,~10,8
2022,9,1,405,~10,30
2022,9,1,406,~10,2
2022,9,1,407,~10,7
2022,9,1,408,~10,28
2022,9,1,409,~10,33
2022,9,1,418,~10,28
2022,9,1,412,~10,96
2022,9,1,108,20,150
2022,9,1,109,20,148
2022,9,1,400,20,52
2022,9,1,400,20,4
2022,9,1,427,20,42
2022,9,1,432,20,11
2022,9,1,111,20,38
2022,9,1,112,20,138
2022,9,1,436,20,78
2022,9,1,437,20,61
2022,9,1,437,20,4
2022,9,1,438,20,32
2022,9,1,440,20,60
2022,9,1,113,20,107
2022,9,1,118,20,21
2022,9,1,114,20,112
2022,9,1,114,20,8
2022,9,1,142,20,35
2022,9,1,143,20,70
2022,9,1,144,20,69
2022,9,1,145,20,48
2022,9,1,146,20,263
2022,9,1,147,20,97
2022,9,1,150,20,71
2022,9,1,119,20,8
2022,9,1,153,20,63
2022,9,1,154,20,195
2022,9,1,155,20,28
