year,month,day,rent_office_number,age,time
2022,9,1,3101,~10,8
2022,9,1,3103,~10,7
2022,9,1,117,~10,14
2022,9,1,162,~10,17
2022,9,1,3110,~10,28
2022,9,1,3123,~10,3
2022,9,1,3128,~10,32
2022,9,1,165,~10,16
2022,9,1,169,~10,11
2022,9,1,179,~10,21
2022,9,1,123,~10,10
2022,9,1,4255,~10,18
2022,9,1,4273,~10,12
2022,9,1,3101,20,52
2022,9,1,3101,20,11
2022,9,1,3102,20,60
2022,9,1,115,20,77
2022,9,1,115,20,16
2022,9,1,3103,20,66
2022,9,1,3103,20,34
2022,9,1,3104,20,14
2022,9,1,3105,20,9
2022,9,1,117,20,178
2022,9,1,159,20,7
2022,9,1,160,20,19
2022,9,1,161,20,9
2022,9,1,162,20,53
2022,9,1,3110,20,46
2022,9,1,3110,20,14
2022,9,1,3114,20,29
2022,9,1,3113,20,30
2022,9,1,163,20,55
2022,9,1,3115,20,21
2022,9,1,3116,20,33
2022,9,1,3119,20,184
2022,9,1,3119,20,8
2022,9,1,3120,20,52
2022,9,1,3121,20,137
2022,9,1,3122,20,30
2022,9,1,3122,20,3
2022,9,1,3123,20,7
2022,9,1,164,20,37
2022,9,1,3125,20,60
2022,9,1,3127,20,28
2022,9,1,3128,20,26
2022,9,1,3129,20,83
2022,9,1,3130,20,32
2022,9,1,3131,20,47
2022,9,1,3132,20,26
2022,9,1,3132,20,10
2022,9,1,165,20,23
2022,9,1,166,20,19
2022,9,1,169,20,10
2022,9,1,170,20,26
2022,9,1,170,20,46
2022,9,1,171,20,4
2022,9,1,173,20,136
2022,9,1,175,20,64
2022,9,1,179,20,115
2022,9,1,180,20,40
2022,9,1,123,20,106
2022,9,1,4253,20,124
2022,9,1,4255,20,82
2022,9,1,4255,20,36
2022,9,1,4262,20,4
2022,9,1,128,20,15
2022,9,1,4264,20,125
2022,9,1,4267,20,46
2022,9,1,4269,20,19
2022,9,1,4272,20,110
2022,9,1,4273,20,10
2022,9,1,131,20,96
2022,9,1,177,20,26
2022,9,1,188,20,5
2022,9,1,191,20,164
2022,9,1,192,20,17
2022,9,1,178,20,141
2022,9,1,133,20,134
2022,9,1,194,20,177
2022,9,1,195,20,17
2022,9,1,196,20,9
2022,9,1,198,20,10
2022,9,1,134,20,32
2022,9,1,135,20,30
2022,9,1,137,20,87
2022,9,1,138,20,225
2022,9,1,140,20,68
2022,9,1,141,20,37
2022,9,1,139,20,9
2022,9,1,176,20,127
2022,9,1,3101,30,10
2022,9,1,3102,30,70
2022,9,1,115,30,86
2022,9,1,3103,30,53
2022,9,1,3105,30,9
2022,9,1,3107,30,6
2022,9,1,117,30,133
2022,9,1,160,30,51
2022,9,1,162,30,6
2022,9,1,3110,30,17
2022,9,1,3113,30,48
2022,9,1,3116,30,57
2022,9,1,3119,30,47
2022,9,1,3120,30,18
2022,9,1,3121,30,37
2022,9,1,3121,30,9
2022,9,1,3122,30,13
2022,9,1,3123,30,27
2022,9,1,3125,30,87
2022,9,1,3129,30,54
2022,9,1,3130,30,15
2022,9,1,3131,30,26
2022,9,1,3132,30,18
2022,9,1,3134,30,8
2022,9,1,165,30,17
2022,9,1,166,30,184
2022,9,1,166,30,13
2022,9,1,167,30,10
2022,9,1,171,30,25
2022,9,1,173,30,66
2022,9,1,175,30,129
2022,9,1,179,30,36
2022,9,1,179,30,6
2022,9,1,180,30,32
2022,9,1,123,30,44
2022,9,1,4253,30,10
2022,9,1,4255,30,20
2022,9,1,128,30,11
2022,9,1,4266,30,42
2022,9,1,4264,30,47
2022,9,1,4267,30,41
2022,9,1,4269,30,28
2022,9,1,4272,30,14
2022,9,1,4273,30,14
2022,9,1,131,30,18
2022,9,1,177,30,10
2022,9,1,188,30,13
2022,9,1,191,30,29
2022,9,1,192,30,56
2022,9,1,178,30,89
2022,9,1,133,30,159
2022,9,1,194,30,65
2022,9,1,195,30,9
2022,9,1,196,30,22
2022,9,1,198,30,76
2022,9,1,134,30,110
2022,9,1,138,30,15
2022,9,1,140,30,76
2022,9,1,141,30,59
2022,9,1,176,30,42
2022,9,1,3102,40,7
2022,9,1,115,40,4
2022,9,1,3103,40,34
2022,9,1,117,40,147
2022,9,1,117,40,31
2022,9,1,161,40,42
2022,9,1,3109,40,39
2022,9,1,3110,40,8
2022,9,1,3114,40,2
2022,9,1,3113,40,31
2022,9,1,163,40,5
2022,9,1,3115,40,1
2022,9,1,3116,40,7
2022,9,1,3119,40,59
2022,9,1,3120,40,9
2022,9,1,3121,40,22
2022,9,1,3123,40,57
2022,9,1,3125,40,34
2022,9,1,3127,40,122
2022,9,1,3128,40,18
2022,9,1,3129,40,25
2022,9,1,3130,40,14
2022,9,1,3130,40,31
2022,9,1,3131,40,58
2022,9,1,3132,40,15
2022,9,1,165,40,4
2022,9,1,166,40,44
2022,9,1,170,40,56
2022,9,1,170,40,13
2022,9,1,175,40,30
2022,9,1,179,40,59
2022,9,1,123,40,83
2022,9,1,4255,40,10
2022,9,1,4255,40,52
2022,9,1,4262,40,12
2022,9,1,128,40,61
2022,9,1,4264,40,45
2022,9,1,4265,40,13
2022,9,1,4267,40,14
2022,9,1,4271,40,9
2022,9,1,4272,40,70
2022,9,1,131,40,39
2022,9,1,177,40,4
2022,9,1,188,40,2
2022,9,1,191,40,65
2022,9,1,192,40,20
2022,9,1,194,40,22
2022,9,1,196,40,34
2022,9,1,137,40,25
2022,9,1,138,40,51
2022,9,1,141,40,68
2022,9,1,176,40,19
2022,9,1,3102,50,45
2022,9,1,3103,50,12
2022,9,1,3107,50,14
2022,9,1,117,50,30
2022,9,1,161,50,74
2022,9,1,3110,50,20
2022,9,1,3113,50,11
2022,9,1,163,50,22
2022,9,1,3120,50,10
2022,9,1,3125,50,8
2022,9,1,3127,50,30
2022,9,1,3128,50,22
2022,9,1,3129,50,28
2022,9,1,3131,50,19
2022,9,1,3132,50,30
2022,9,1,165,50,19
2022,9,1,166,50,14
2022,9,1,170,50,64
2022,9,1,175,50,13
2022,9,1,180,50,5
2022,9,1,123,50,81
2022,9,1,4267,50,11
2022,9,1,4269,50,46
2022,9,1,131,50,34
2022,9,1,177,50,23
2022,9,1,188,50,47
2022,9,1,191,50,25
2022,9,1,178,50,52
2022,9,1,133,50,37
2022,9,1,195,50,3
2022,9,1,196,50,3
2022,9,1,134,50,15
2022,9,1,140,50,2
2022,9,1,176,50,12
2022,9,1,3122,60,1
2022,9,1,3129,60,3
2022,9,1,165,60,42
2022,9,1,169,60,6
2022,9,1,123,60,6
2022,9,1,188,60,22
2022,9,1,178,60,12
2022,9,1,194,60,5
2022,9,1,198,60,49
2022,9,1,176,60,34
2022,9,1,3101,NA,17
2022,9,1,3102,NA,20
2022,9,1,3103,NA,14
2022,9,1,3103,NA,35
